id,name,city,state,type,ranking,avg_fees,website,offered_degrees,description,created_at,updated_at,college_code,canonical_name,country_code,postal_code,source_system,source_reference,data_version,last_reviewed_at,is_published
9a0d5b53-98fa-4564-91c6-3ee28ff7107c,Institute of Commerce and Economics — Kolkata Reference Campus 0007,Kolkata,West Bengal,deemed,7,230000,,{},"Generated reference institution record for import-pipeline validation. Verify identity, website, rankings, accreditation, fees, and outcomes against authoritative sources before publication.",2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00,edu-college-00007,Institute of Commerce and Economics — Kolkata Reference Campus 0007,IN,100007,generated-reference-catalog,methodology:geographic-distribution-v1,2026.1,2026-06-14,f
9a616bbb-d52e-4cf8-86d4-60427a8d157b,College of Health and Life Sciences — Bhopal Reference Campus 0008,Bhopal,Madhya Pradesh,autonomous,8,250000,,{},"Generated reference institution record for import-pipeline validation. Verify identity, website, rankings, accreditation, fees, and outcomes against authoritative sources before publication.",2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00,edu-college-00008,College of Health and Life Sciences — Bhopal Reference Campus 0008,IN,100008,generated-reference-catalog,methodology:geographic-distribution-v1,2026.1,2026-06-14,f
705f90dd-f64c-4caa-98b6-ae9d4e6006ab,Institute of Technology and Management — Hyderabad Reference Campus 0009,Hyderabad,Telangana,government,9,270000,,{},"Generated reference institution record for import-pipeline validation. Verify identity, website, rankings, accreditation, fees, and outcomes against authoritative sources before publication.",2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00,edu-college-00009,Institute of Technology and Management — Hyderabad Reference Campus 0009,IN,100009,generated-reference-catalog,methodology:geographic-distribution-v1,2026.1,2026-06-14,f
de96081f-33fd-4106-94fb-c48a2a7badd5,College of Arts and Sciences — Visakhapatnam Reference Campus 0010,Visakhapatnam,Andhra Pradesh,private,10,290000,,{},"Generated reference institution record for import-pipeline validation. Verify identity, website, rankings, accreditation, fees, and outcomes against authoritative sources before publication.",2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00,edu-college-00010,College of Arts and Sciences — Visakhapatnam Reference Campus 0010,IN,100010,generated-reference-catalog,methodology:geographic-distribution-v1,2026.1,2026-06-14,f
5ebc35a3-dfdb-4397-aaec-21f158766c26,School of Business and Innovation — Kochi Reference Campus 0011,Kochi,Kerala,deemed,11,310000,,{},"Generated reference institution record for import-pipeline validation. Verify identity, website, rankings, accreditation, fees, and outcomes against authoritative sources before publication.",2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00,edu-college-00011,School of Business and Innovation — Kochi Reference Campus 0011,IN,100011,generated-reference-catalog,methodology:geographic-distribution-v1,2026.1,2026-06-14,f
0078794d-e6d0-41e3-92b0-02a79301c1ca,Institute of Engineering and Applied Studies — Bhubaneswar Reference Campus 0012,Bhubaneswar,Odisha,autonomous,12,330000,,{},"Generated reference institution record for import-pipeline validation. Verify identity, website, rankings, accreditation, fees, and outcomes against authoritative sources before publication.",2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00,edu-college-00012,Institute of Engineering and Applied Studies — Bhubaneswar Reference Campus 0012,IN,100012,generated-reference-catalog,methodology:geographic-distribution-v1,2026.1,2026-06-14,f
5a3843ab-641d-46a8-b17c-e9d36fbd09ce,College of Professional Education — Ludhiana Reference Campus 0013,Ludhiana,Punjab,government,13,350000,,{},"Generated reference institution record for import-pipeline validation. Verify identity, website, rankings, accreditation, fees, and outcomes against authoritative sources before publication.",2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00,edu-college-00013,College of Professional Education — Ludhiana Reference Campus 0013,IN,100013,generated-reference-catalog,methodology:geographic-distribution-v1,2026.1,2026-06-14,f
1480a34c-fa0c-4d3a-b613-88593d28c59c,Academy of Digital and Design Studies — Gurugram Reference Campus 0014,Gurugram,Haryana,private,14,370000,,{},"Generated reference institution record for import-pipeline validation. Verify identity, website, rankings, accreditation, fees, and outcomes against authoritative sources before publication.",2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00,edu-college-00014,Academy of Digital and Design Studies — Gurugram Reference Campus 0014,IN,100014,generated-reference-catalog,methodology:geographic-distribution-v1,2026.1,2026-06-14,f
139c4551-811e-499c-8427-d4a907d8229d,Institute of Commerce and Economics — Patna Reference Campus 0015,Patna,Bihar,deemed,15,390000,,{},"Generated reference institution record for import-pipeline validation. Verify identity, website, rankings, accreditation, fees, and outcomes against authoritative sources before publication.",2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00,edu-college-00015,Institute of Commerce and Economics — Patna Reference Campus 0015,IN,100015,generated-reference-catalog,methodology:geographic-distribution-v1,2026.1,2026-06-14,f
5ec477e0-292f-4d6a-8a63-d43884405cc7,College of Health and Life Sciences — Guwahati Reference Campus 0016,Guwahati,Assam,autonomous,16,410000,,{},"Generated reference institution record for import-pipeline validation. Verify identity, website, rankings, accreditation, fees, and outcomes against authoritative sources before publication.",2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00,edu-college-00016,College of Health and Life Sciences — Guwahati Reference Campus 0016,IN,100016,generated-reference-catalog,methodology:geographic-distribution-v1,2026.1,2026-06-14,f
80624fa7-c67c-4a70-96f6-5d3aad9aece7,Institute of Technology and Management — Ranchi Reference Campus 0017,Ranchi,Jharkhand,government,17,430000,,{},"Generated reference institution record for import-pipeline validation. Verify identity, website, rankings, accreditation, fees, and outcomes against authoritative sources before publication.",2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00,edu-college-00017,Institute of Technology and Management — Ranchi Reference Campus 0017,IN,100017,generated-reference-catalog,methodology:geographic-distribution-v1,2026.1,2026-06-14,f
ace8a915-cc8d-4322-8ea7-8eccee962ea5,College of Arts and Sciences — Raipur Reference Campus 0018,Raipur,Chhattisgarh,private,18,450000,,{},"Generated reference institution record for import-pipeline validation. Verify identity, website, rankings, accreditation, fees, and outcomes against authoritative sources before publication.",2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00,edu-college-00018,College of Arts and Sciences — Raipur Reference Campus 0018,IN,100018,generated-reference-catalog,methodology:geographic-distribution-v1,2026.1,2026-06-14,f
229fe647-6bbb-446e-ac23-ba7d3f7d407e,School of Business and Innovation — Dehradun Reference Campus 0019,Dehradun,Uttarakhand,deemed,19,470000,,{},"Generated reference institution record for import-pipeline validation. Verify identity, website, rankings, accreditation, fees, and outcomes against authoritative sources before publication.",2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00,edu-college-00019,School of Business and Innovation — Dehradun Reference Campus 0019,IN,100019,generated-reference-catalog,methodology:geographic-distribution-v1,2026.1,2026-06-14,f
1e8287ec-6d39-407f-8ca2-2ed116dbfb97,Institute of Engineering and Applied Studies — Shimla Reference Campus 0020,Shimla,Himachal Pradesh,autonomous,20,490000,,{},"Generated reference institution record for import-pipeline validation. Verify identity, website, rankings, accreditation, fees, and outcomes against authoritative sources before publication.",2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00,edu-college-00020,Institute of Engineering and Applied Studies — Shimla Reference Campus 0020,IN,100020,generated-reference-catalog,methodology:geographic-distribution-v1,2026.1,2026-06-14,f
9b36b16e-4fb4-4c05-90ed-3405d2bae544,College of Professional Education — Mumbai Reference Campus 0021,Mumbai,Maharashtra,government,21,510000,,{},"Generated reference institution record for import-pipeline validation. Verify identity, website, rankings, accreditation, fees, and outcomes against authoritative sources before publication.",2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00,edu-college-00021,College of Professional Education — Mumbai Reference Campus 0021,IN,100021,generated-reference-catalog,methodology:geographic-distribution-v1,2026.1,2026-06-14,f
28a465bd-c1a1-45ab-b75f-f25215fedab6,Academy of Digital and Design Studies — Bengaluru Reference Campus 0022,Bengaluru,Karnataka,private,22,530000,,{},"Generated reference institution record for import-pipeline validation. Verify identity, website, rankings, accreditation, fees, and outcomes against authoritative sources before publication.",2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00,edu-college-00022,Academy of Digital and Design Studies — Bengaluru Reference Campus 0022,IN,100022,generated-reference-catalog,methodology:geographic-distribution-v1,2026.1,2026-06-14,f
afbb1114-db67-4214-9c62-cd40a155ed1d,Institute of Commerce and Economics — Chennai Reference Campus 0023,Chennai,Tamil Nadu,deemed,23,550000,,{},"Generated reference institution record for import-pipeline validation. Verify identity, website, rankings, accreditation, fees, and outcomes against authoritative sources before publication.",2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00,edu-college-00023,Institute of Commerce and Economics — Chennai Reference Campus 0023,IN,100023,generated-reference-catalog,methodology:geographic-distribution-v1,2026.1,2026-06-14,f
76f9167b-fd41-450f-8330-c5dae3e2ce23,College of Health and Life Sciences — Lucknow Reference Campus 0024,Lucknow,Uttar Pradesh,autonomous,24,90000,,{},"Generated reference institution record for import-pipeline validation. Verify identity, website, rankings, accreditation, fees, and outcomes against authoritative sources before publication.",2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00,edu-college-00024,College of Health and Life Sciences — Lucknow Reference Campus 0024,IN,100024,generated-reference-catalog,methodology:geographic-distribution-v1,2026.1,2026-06-14,f
0edea13d-e346-4039-9620-e15689b1b1b2,Institute of Technology and Management — Ahmedabad Reference Campus 0025,Ahmedabad,Gujarat,government,25,110000,,{},"Generated reference institution record for import-pipeline validation. Verify identity, website, rankings, accreditation, fees, and outcomes against authoritative sources before publication.",2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00,edu-college-00025,Institute of Technology and Management — Ahmedabad Reference Campus 0025,IN,100025,generated-reference-catalog,methodology:geographic-distribution-v1,2026.1,2026-06-14,f
b47176ff-389d-4fd8-9eea-791dcae4832d,College of Arts and Sciences — Jaipur Reference Campus 0026,Jaipur,Rajasthan,private,26,130000,,{},"Generated reference institution record for import-pipeline validation. Verify identity, website, rankings, accreditation, fees, and outcomes against authoritative sources before publication.",2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00,edu-college-00026,College of Arts and Sciences — Jaipur Reference Campus 0026,IN,100026,generated-reference-catalog,methodology:geographic-distribution-v1,2026.1,2026-06-14,f
b533728a-f2ee-405b-afea-b59fb0632452,School of Business and Innovation — Kolkata Reference Campus 0027,Kolkata,West Bengal,deemed,27,150000,,{},"Generated reference institution record for import-pipeline validation. Verify identity, website, rankings, accreditation, fees, and outcomes against authoritative sources before publication.",2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00,edu-college-00027,School of Business and Innovation — Kolkata Reference Campus 0027,IN,100027,generated-reference-catalog,methodology:geographic-distribution-v1,2026.1,2026-06-14,f
4dd654a4-fb53-4168-ba53-e5cf4398ebfd,Institute of Engineering and Applied Studies — Bhopal Reference Campus 0028,Bhopal,Madhya Pradesh,autonomous,28,170000,,{},"Generated reference institution record for import-pipeline validation. Verify identity, website, rankings, accreditation, fees, and outcomes against authoritative sources before publication.",2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00,edu-college-00028,Institute of Engineering and Applied Studies — Bhopal Reference Campus 0028,IN,100028,generated-reference-catalog,methodology:geographic-distribution-v1,2026.1,2026-06-14,f
d8ef509c-5600-4475-96e9-f640748ec3f5,College of Professional Education — Hyderabad Reference Campus 0029,Hyderabad,Telangana,government,29,190000,,{},"Generated reference institution record for import-pipeline validation. Verify identity, website, rankings, accreditation, fees, and outcomes against authoritative sources before publication.",2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00,edu-college-00029,College of Professional Education — Hyderabad Reference Campus 0029,IN,100029,generated-reference-catalog,methodology:geographic-distribution-v1,2026.1,2026-06-14,f
5931cbc9-d87d-4244-a3aa-9c2d41ca6a69,Academy of Digital and Design Studies — Visakhapatnam Reference Campus 0030,Visakhapatnam,Andhra Pradesh,private,30,210000,,{},"Generated reference institution record for import-pipeline validation. Verify identity, website, rankings, accreditation, fees, and outcomes against authoritative sources before publication.",2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00,edu-college-00030,Academy of Digital and Design Studies — Visakhapatnam Reference Campus 0030,IN,100030,generated-reference-catalog,methodology:geographic-distribution-v1,2026.1,2026-06-14,f
f91735d5-3c98-4934-b1d7-48a9149b08b6,Institute of Commerce and Economics — Kochi Reference Campus 0031,Kochi,Kerala,deemed,31,230000,,{},"Generated reference institution record for import-pipeline validation. Verify identity, website, rankings, accreditation, fees, and outcomes against authoritative sources before publication.",2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00,edu-college-00031,Institute of Commerce and Economics — Kochi Reference Campus 0031,IN,100031,generated-reference-catalog,methodology:geographic-distribution-v1,2026.1,2026-06-14,f
253c02e3-4615-4b13-8ba0-0a26e2374438,College of Health and Life Sciences — Bhubaneswar Reference Campus 0032,Bhubaneswar,Odisha,autonomous,32,250000,,{},"Generated reference institution record for import-pipeline validation. Verify identity, website, rankings, accreditation, fees, and outcomes against authoritative sources before publication.",2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00,edu-college-00032,College of Health and Life Sciences — Bhubaneswar Reference Campus 0032,IN,100032,generated-reference-catalog,methodology:geographic-distribution-v1,2026.1,2026-06-14,f
2c0e7f42-aaaf-4315-9586-7b56b51fa19d,Institute of Technology and Management — Ludhiana Reference Campus 0033,Ludhiana,Punjab,government,33,270000,,{},"Generated reference institution record for import-pipeline validation. Verify identity, website, rankings, accreditation, fees, and outcomes against authoritative sources before publication.",2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00,edu-college-00033,Institute of Technology and Management — Ludhiana Reference Campus 0033,IN,100033,generated-reference-catalog,methodology:geographic-distribution-v1,2026.1,2026-06-14,f
6b842aa5-dee2-49a5-a276-831c3f1a01f2,College of Arts and Sciences — Gurugram Reference Campus 0034,Gurugram,Haryana,private,34,290000,,{},"Generated reference institution record for import-pipeline validation. Verify identity, website, rankings, accreditation, fees, and outcomes against authoritative sources before publication.",2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00,edu-college-00034,College of Arts and Sciences — Gurugram Reference Campus 0034,IN,100034,generated-reference-catalog,methodology:geographic-distribution-v1,2026.1,2026-06-14,f
45ecaffe-790e-416d-a5c9-560ff5a94afa,School of Business and Innovation — Patna Reference Campus 0035,Patna,Bihar,deemed,35,310000,,{},"Generated reference institution record for import-pipeline validation. Verify identity, website, rankings, accreditation, fees, and outcomes against authoritative sources before publication.",2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00,edu-college-00035,School of Business and Innovation — Patna Reference Campus 0035,IN,100035,generated-reference-catalog,methodology:geographic-distribution-v1,2026.1,2026-06-14,f
039ecace-0111-442d-9308-e7b5970b9080,Institute of Engineering and Applied Studies — Guwahati Reference Campus 0036,Guwahati,Assam,autonomous,36,330000,,{},"Generated reference institution record for import-pipeline validation. Verify identity, website, rankings, accreditation, fees, and outcomes against authoritative sources before publication.",2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00,edu-college-00036,Institute of Engineering and Applied Studies — Guwahati Reference Campus 0036,IN,100036,generated-reference-catalog,methodology:geographic-distribution-v1,2026.1,2026-06-14,f
de516236-5418-4d1d-9975-28bde72a6551,College of Professional Education — Ranchi Reference Campus 0037,Ranchi,Jharkhand,government,37,350000,,{},"Generated reference institution record for import-pipeline validation. Verify identity, website, rankings, accreditation, fees, and outcomes against authoritative sources before publication.",2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00,edu-college-00037,College of Professional Education — Ranchi Reference Campus 0037,IN,100037,generated-reference-catalog,methodology:geographic-distribution-v1,2026.1,2026-06-14,f
9e7f2eaa-edd5-442f-978f-1d254e126274,Academy of Digital and Design Studies — Raipur Reference Campus 0038,Raipur,Chhattisgarh,private,38,370000,,{},"Generated reference institution record for import-pipeline validation. Verify identity, website, rankings, accreditation, fees, and outcomes against authoritative sources before publication.",2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00,edu-college-00038,Academy of Digital and Design Studies — Raipur Reference Campus 0038,IN,100038,generated-reference-catalog,methodology:geographic-distribution-v1,2026.1,2026-06-14,f
ef6f9006-6df5-4020-8271-85854ce1cf2e,Institute of Commerce and Economics — Dehradun Reference Campus 0039,Dehradun,Uttarakhand,deemed,39,390000,,{},"Generated reference institution record for import-pipeline validation. Verify identity, website, rankings, accreditation, fees, and outcomes against authoritative sources before publication.",2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00,edu-college-00039,Institute of Commerce and Economics — Dehradun Reference Campus 0039,IN,100039,generated-reference-catalog,methodology:geographic-distribution-v1,2026.1,2026-06-14,f
fde9b37b-25bb-4098-9a48-9e3d52793bb0,College of Health and Life Sciences — Shimla Reference Campus 0040,Shimla,Himachal Pradesh,autonomous,40,410000,,{},"Generated reference institution record for import-pipeline validation. Verify identity, website, rankings, accreditation, fees, and outcomes against authoritative sources before publication.",2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00,edu-college-00040,College of Health and Life Sciences — Shimla Reference Campus 0040,IN,100040,generated-reference-catalog,methodology:geographic-distribution-v1,2026.1,2026-06-14,f
dac3f4cf-6fa3-4992-b526-567e502bf38d,Institute of Technology and Management — Mumbai Reference Campus 0041,Mumbai,Maharashtra,government,41,430000,,{},"Generated reference institution record for import-pipeline validation. Verify identity, website, rankings, accreditation, fees, and outcomes against authoritative sources before publication.",2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00,edu-college-00041,Institute of Technology and Management — Mumbai Reference Campus 0041,IN,100041,generated-reference-catalog,methodology:geographic-distribution-v1,2026.1,2026-06-14,f
0a2452d2-9e9f-4469-9ce7-441f3e736139,College of Arts and Sciences — Bengaluru Reference Campus 0042,Bengaluru,Karnataka,private,42,450000,,{},"Generated reference institution record for import-pipeline validation. Verify identity, website, rankings, accreditation, fees, and outcomes against authoritative sources before publication.",2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00,edu-college-00042,College of Arts and Sciences — Bengaluru Reference Campus 0042,IN,100042,generated-reference-catalog,methodology:geographic-distribution-v1,2026.1,2026-06-14,f
d5ed4193-97d7-4793-b3ed-122316cbc60b,School of Business and Innovation — Chennai Reference Campus 0043,Chennai,Tamil Nadu,deemed,43,470000,,{},"Generated reference institution record for import-pipeline validation. Verify identity, website, rankings, accreditation, fees, and outcomes against authoritative sources before publication.",2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00,edu-college-00043,School of Business and Innovation — Chennai Reference Campus 0043,IN,100043,generated-reference-catalog,methodology:geographic-distribution-v1,2026.1,2026-06-14,f
b9512661-858b-42b2-a2af-bf8dfcc95a8d,Institute of Engineering and Applied Studies — Lucknow Reference Campus 0044,Lucknow,Uttar Pradesh,autonomous,44,490000,,{},"Generated reference institution record for import-pipeline validation. Verify identity, website, rankings, accreditation, fees, and outcomes against authoritative sources before publication.",2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00,edu-college-00044,Institute of Engineering and Applied Studies — Lucknow Reference Campus 0044,IN,100044,generated-reference-catalog,methodology:geographic-distribution-v1,2026.1,2026-06-14,f
6e95b9c3-490e-4e5a-b431-29e5f2062600,College of Professional Education — Ahmedabad Reference Campus 0045,Ahmedabad,Gujarat,government,45,510000,,{},"Generated reference institution record for import-pipeline validation. Verify identity, website, rankings, accreditation, fees, and outcomes against authoritative sources before publication.",2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00,edu-college-00045,College of Professional Education — Ahmedabad Reference Campus 0045,IN,100045,generated-reference-catalog,methodology:geographic-distribution-v1,2026.1,2026-06-14,f
6a5a20c9-bb6e-4466-8165-4ef0d3c5f9dc,Academy of Digital and Design Studies — Jaipur Reference Campus 0046,Jaipur,Rajasthan,private,46,530000,,{},"Generated reference institution record for import-pipeline validation. Verify identity, website, rankings, accreditation, fees, and outcomes against authoritative sources before publication.",2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00,edu-college-00046,Academy of Digital and Design Studies — Jaipur Reference Campus 0046,IN,100046,generated-reference-catalog,methodology:geographic-distribution-v1,2026.1,2026-06-14,f
3ffc94c9-16c1-4f2b-99c0-3eb996d27d53,Institute of Commerce and Economics — Kolkata Reference Campus 0047,Kolkata,West Bengal,deemed,47,550000,,{},"Generated reference institution record for import-pipeline validation. Verify identity, website, rankings, accreditation, fees, and outcomes against authoritative sources before publication.",2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00,edu-college-00047,Institute of Commerce and Economics — Kolkata Reference Campus 0047,IN,100047,generated-reference-catalog,methodology:geographic-distribution-v1,2026.1,2026-06-14,f
237b59cd-c9df-4179-bfcd-892e950d2a88,College of Health and Life Sciences — Bhopal Reference Campus 0048,Bhopal,Madhya Pradesh,autonomous,48,90000,,{},"Generated reference institution record for import-pipeline validation. Verify identity, website, rankings, accreditation, fees, and outcomes against authoritative sources before publication.",2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00,edu-college-00048,College of Health and Life Sciences — Bhopal Reference Campus 0048,IN,100048,generated-reference-catalog,methodology:geographic-distribution-v1,2026.1,2026-06-14,f
aae4b222-7145-4a98-a75d-c0ae9d84b92a,Institute of Technology and Management — Hyderabad Reference Campus 0049,Hyderabad,Telangana,government,49,110000,,{},"Generated reference institution record for import-pipeline validation. Verify identity, website, rankings, accreditation, fees, and outcomes against authoritative sources before publication.",2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00,edu-college-00049,Institute of Technology and Management — Hyderabad Reference Campus 0049,IN,100049,generated-reference-catalog,methodology:geographic-distribution-v1,2026.1,2026-06-14,f
7efbee04-f8c5-4ad2-a81c-697f2e15bb9b,College of Arts and Sciences — Visakhapatnam Reference Campus 0050,Visakhapatnam,Andhra Pradesh,private,50,130000,,{},"Generated reference institution record for import-pipeline validation. Verify identity, website, rankings, accreditation, fees, and outcomes against authoritative sources before publication.",2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00,edu-college-00050,College of Arts and Sciences — Visakhapatnam Reference Campus 0050,IN,100050,generated-reference-catalog,methodology:geographic-distribution-v1,2026.1,2026-06-14,f
0a021494-45db-4d27-9520-9cffed5122b3,School of Business and Innovation — Kochi Reference Campus 0051,Kochi,Kerala,deemed,51,150000,,{},"Generated reference institution record for import-pipeline validation. Verify identity, website, rankings, accreditation, fees, and outcomes against authoritative sources before publication.",2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00,edu-college-00051,School of Business and Innovation — Kochi Reference Campus 0051,IN,100051,generated-reference-catalog,methodology:geographic-distribution-v1,2026.1,2026-06-14,f
fa83b4c7-8037-4118-af00-f6b3bf68c0dd,Institute of Engineering and Applied Studies — Bhubaneswar Reference Campus 0052,Bhubaneswar,Odisha,autonomous,52,170000,,{},"Generated reference institution record for import-pipeline validation. Verify identity, website, rankings, accreditation, fees, and outcomes against authoritative sources before publication.",2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00,edu-college-00052,Institute of Engineering and Applied Studies — Bhubaneswar Reference Campus 0052,IN,100052,generated-reference-catalog,methodology:geographic-distribution-v1,2026.1,2026-06-14,f
