id,title,emoji,description,salary_entry,salary_mid,demand_index,ai_risk,required_education,alternatives,tags,created_at,updated_at,salary_senior,category,skills_required,degrees_accepted,certifications,future_demand,growth_rate,top_companies,remote_opportunities,career_code,canonical_name,day_to_day_summary,personality_fit,source_system,source_reference,data_version,last_reviewed_at,is_published
a912f566-dae8-46dd-8477-759d824e7eb0,Affiliate Marketer,💼,Earns commission promoting products.,6,16,50,Medium,,{},{},2026-06-09 00:52:38.116633+00,2026-06-13 04:25:25.412242+00,35,business,"{Communication,Strategy,Excel,""Project Management"",""Stakeholder Mgmt""}","{BBA,MBA,B.Com,""Diploma in Mgmt""}","{PMP,""Six Sigma"",""Google PM Cert"",""HubSpot Cert""}",Very High,17,"{Deloitte,McKinsey,Bain,TCS}",Low,affiliate-marketer,Affiliate Marketer,Earns commission promoting products.,"Decisive, persuasive, commercially aware and comfortable with ambiguity.",career-gps-research,Career GPS 2026 occupation research model,2026.1,2026-06-13,t
8ac2c589-7f8e-4a18-98d1-ed2e7dbc9804,Agricultural Engineer,⚙️,Applies engineering to farming.,6,11,43,Medium,,{},{},2026-06-09 00:52:38.116633+00,2026-06-13 04:25:25.412242+00,29,engineering,"{Mathematics,CAD,""Problem Solving"",""Project Mgmt"",""Domain Knowledge""}","{B.Tech,B.E,M.Tech,""Diploma in Engg""}","{GATE,""PE License"",""Six Sigma"",""AutoCAD Cert""}",High,5,"{Reliance,Siemens,L&T,BHEL}",Low,agricultural-engineer,Agricultural Engineer,Applies engineering to farming.,"Curious, dependable, adaptable and motivated to build domain expertise.",career-gps-research,Career GPS 2026 occupation research model,2026.1,2026-06-13,t
365b0f83-e84f-43ab-a985-8a76adbf0094,AgTech Engineer,🚀,Builds agricultural technology.,5,12,61,Medium,,{},{},2026-06-09 00:52:38.116633+00,2026-06-13 04:25:25.412242+00,30,emerging,"{""Continuous Learning"",Adaptability,""Tech Literacy"",Research,Communication}","{B.Tech,M.Tech,""Online Cert"",Bootcamp}","{""AI Cert"",""Cloud Cert"",""Sustainability Cert""}",Very High,24,"{""Reliance Jio"",OpenAI,Tata,Microsoft}",High,agtech-engineer,AgTech Engineer,Builds agricultural technology.,"Curious, dependable, adaptable and motivated to build domain expertise.",career-gps-research,Career GPS 2026 occupation research model,2026.1,2026-06-13,t
8ed91ab3-df28-4f85-ad42-7b35b2d86226,AI Content Editor,🚀,Edits AI-generated content for publication.,4,13,53,Medium,,{},{},2026-06-09 00:52:38.116633+00,2026-06-13 04:25:25.412242+00,30,emerging,"{""Continuous Learning"",Adaptability,""Tech Literacy"",Research,Communication}","{B.Tech,M.Tech,""Online Cert"",Bootcamp}","{""AI Cert"",""Cloud Cert"",""Sustainability Cert""}",Very High,6,"{Tata,""Reliance Jio"",OpenAI,DeepMind}",Medium,ai-content-editor,AI Content Editor,Edits AI-generated content for publication.,"Curious, dependable, adaptable and motivated to build domain expertise.",career-gps-research,Career GPS 2026 occupation research model,2026.1,2026-06-13,t
03ea1778-5ea3-4b4f-9b94-6855a384b906,AI Customer Support Specialist,🚀,Supports customers of AI products.,3,14,91,High,,{},{},2026-06-09 00:52:38.116633+00,2026-06-13 04:25:25.412242+00,38,emerging,"{""Continuous Learning"",Adaptability,""Tech Literacy"",Research,Communication}","{B.Tech,M.Tech,""Online Cert"",Bootcamp}","{""AI Cert"",""Cloud Cert"",""Sustainability Cert""}",High,10,"{DeepMind,Tata,Microsoft,""Reliance Jio""}",High,ai-customer-support-specialist,AI Customer Support Specialist,Supports customers of AI products.,"Curious, dependable, adaptable and motivated to build domain expertise.",career-gps-research,Career GPS 2026 occupation research model,2026.1,2026-06-13,t
a41862ac-82a3-4719-b432-bf90bf19a592,AI Ethicist,🚀,Advises on ethical implications of AI.,6,16,43,Medium,,{},{},2026-06-09 00:52:38.116633+00,2026-06-13 04:25:25.412242+00,28,emerging,"{""Continuous Learning"",Adaptability,""Tech Literacy"",Research,Communication}","{B.Tech,M.Tech,""Online Cert"",Bootcamp}","{""AI Cert"",""Cloud Cert"",""Sustainability Cert""}",Very High,8,"{DeepMind,OpenAI,""Reliance Jio"",Microsoft}",Low,ai-ethicist,AI Ethicist,Advises on ethical implications of AI.,"Curious, dependable, adaptable and motivated to build domain expertise.",career-gps-research,Career GPS 2026 occupation research model,2026.1,2026-06-13,t
6c29b48d-a3eb-4395-99eb-48b8c68f7ef7,AI Product Manager,🚀,Manages AI-powered products.,4,9,73,High,,{},{},2026-06-09 00:52:38.116633+00,2026-06-13 04:25:25.412242+00,22,emerging,"{""Continuous Learning"",Adaptability,""Tech Literacy"",Research,Communication}","{B.Tech,M.Tech,""Online Cert"",Bootcamp}","{""AI Cert"",""Cloud Cert"",""Sustainability Cert""}",High,22,"{Tata,OpenAI,""Reliance Jio"",Microsoft}",None,ai-product-manager,AI Product Manager,Manages AI-powered products.,"Curious, dependable, adaptable and motivated to build domain expertise.",career-gps-research,Career GPS 2026 occupation research model,2026.1,2026-06-13,t
544cf14b-7a36-4b35-988b-adc019f616ea,AI Research Scientist,💻,Researches novel algorithms in deep learning and AI.,3,8,42,High,,{},{},2026-06-09 00:52:38.116633+00,2026-06-13 04:25:25.412242+00,26,tech,"{Programming,""Problem Solving"",""System Design"",Cloud,Git}","{""B.Tech CSE"",BCA,MCA,""B.Sc IT"",Bootcamp}","{""AWS Certified"",""Google Cloud Cert"",""Coursera Cert"",""Meta Cert""}",Very High,2,"{Google,Flipkart,Razorpay,Microsoft}",High,ai-research-scientist,AI Research Scientist,Researches novel algorithms in deep learning and AI.,"Curious, dependable, adaptable and motivated to build domain expertise.",career-gps-research,Career GPS 2026 occupation research model,2026.1,2026-06-13,t
156ed6ac-9264-416c-8377-3581609e57ba,AI Trainer,🚀,Labels and trains AI models.,3,14,68,High,,{},{},2026-06-09 00:52:38.116633+00,2026-06-13 04:25:25.412242+00,22,emerging,"{""Continuous Learning"",Adaptability,""Tech Literacy"",Research,Communication}","{B.Tech,M.Tech,""Online Cert"",Bootcamp}","{""AI Cert"",""Cloud Cert"",""Sustainability Cert""}",High,3,"{""Reliance Jio"",Tata,Microsoft,DeepMind}",None,ai-trainer,AI Trainer,Labels and trains AI models.,"Curious, dependable, adaptable and motivated to build domain expertise.",career-gps-research,Career GPS 2026 occupation research model,2026.1,2026-06-13,t
34da7903-674c-464c-80dc-3757eb652e10,AI Workflow Designer,🚀,Designs AI-powered workflows.,7,16,87,Medium,,{},{},2026-06-09 00:52:38.116633+00,2026-06-13 04:25:25.412242+00,26,emerging,"{""Continuous Learning"",Adaptability,""Tech Literacy"",Research,Communication}","{B.Tech,M.Tech,""Online Cert"",Bootcamp}","{""AI Cert"",""Cloud Cert"",""Sustainability Cert""}",High,9,"{""Reliance Jio"",Microsoft,Tata,OpenAI}",Low,ai-workflow-designer,AI Workflow Designer,Designs AI-powered workflows.,"Curious, dependable, adaptable and motivated to build domain expertise.",career-gps-research,Career GPS 2026 occupation research model,2026.1,2026-06-13,t
153878fa-54af-4bfc-9694-03ba39d6f953,Air Force Officer,🏛️,Officer in the air force.,3,7,51,Low,,{},{},2026-06-09 00:52:38.116633+00,2026-06-13 04:25:25.412242+00,31,public,"{""Public Service"",Ethics,Communication,Leadership,Discipline}","{BA,""Civil Services"",NDA,""BA Pol Sci""}","{UPSC,SSC,""Defense Service Exam""}",Medium,12,"{NGOs,""State Govt"",GoI,Police}",Medium,air-force-officer,Air Force Officer,Officer in the air force.,"Curious, dependable, adaptable and motivated to build domain expertise.",career-gps-research,Career GPS 2026 occupation research model,2026.1,2026-06-13,t
2718f167-f488-4e72-985a-0f3b0cdcf155,Air Traffic Controller,🏨,Coordinates aircraft movement.,6,18,74,Medium,,{},{},2026-06-09 00:52:38.116633+00,2026-06-13 04:25:25.412242+00,45,hospitality,"{""Customer Service"",Operations,Communication,Multitasking,Hygiene}","{BHM,""Diploma in Hotel Mgmt"",""Culinary Diploma""}","{""Food Safety Cert"",""Bar License"",""Hospitality Cert""}",High,4,"{Marriott,Taj,Hyatt,""ITC Hotels""}",Low,air-traffic-controller,Air Traffic Controller,Coordinates aircraft movement.,"Curious, dependable, adaptable and motivated to build domain expertise.",career-gps-research,Career GPS 2026 occupation research model,2026.1,2026-06-13,t
c9065566-b81f-4f92-bca7-96666e424aeb,Aircraft Mechanic,🔧,Maintains aircraft mechanically.,2,14,40,Medium,,{},{},2026-06-09 00:52:38.116633+00,2026-06-13 04:25:25.412242+00,40,trades,"{""Manual Skills"",Safety,""Tools Knowledge"",""Problem Solving"",Stamina}","{ITI,Diploma,Certification,Apprenticeship}","{""ITI Cert"",Apprenticeship,""Trade License""}",High,5,"{Contractor,""Local Firms"",Industry,""Self Employed""}",Medium,aircraft-mechanic,Aircraft Mechanic,Maintains aircraft mechanically.,"Curious, dependable, adaptable and motivated to build domain expertise.",career-gps-research,Career GPS 2026 occupation research model,2026.1,2026-06-13,t
22f5eca9-2918-4b03-ab0b-444c98e1378b,Algorithmic Trading Engineer,🚀,Builds algorithmic trading systems.,5,12,94,High,,{},{},2026-06-09 00:52:38.116633+00,2026-06-13 04:25:25.412242+00,21,emerging,"{""Continuous Learning"",Adaptability,""Tech Literacy"",Research,Communication}","{B.Tech,M.Tech,""Online Cert"",Bootcamp}","{""AI Cert"",""Cloud Cert"",""Sustainability Cert""}",Very High,6,"{Microsoft,DeepMind,OpenAI,""Reliance Jio""}",High,algorithmic-trading-engineer,Algorithmic Trading Engineer,Builds algorithmic trading systems.,"Curious, dependable, adaptable and motivated to build domain expertise.",career-gps-research,Career GPS 2026 occupation research model,2026.1,2026-06-13,t
949ac5d1-2ecb-4d0c-9453-f4a85e66c91f,Amazon FBA Seller,💼,Sells via Amazon's fulfillment program.,6,12,54,Medium,,{},{},2026-06-09 00:52:38.116633+00,2026-06-13 04:25:25.412242+00,32,business,"{Communication,Strategy,Excel,""Project Management"",""Stakeholder Mgmt""}","{BBA,MBA,B.Com,""Diploma in Mgmt""}","{PMP,""Six Sigma"",""Google PM Cert"",""HubSpot Cert""}",Low,13,"{TCS,McKinsey,Bain,BCG}",Low,amazon-fba-seller,Amazon FBA Seller,Sells via Amazon's fulfillment program.,"Decisive, persuasive, commercially aware and comfortable with ambiguity.",career-gps-research,Career GPS 2026 occupation research model,2026.1,2026-06-13,t
e800e865-4f70-469c-a9c8-668fb2ba3f41,AML Analyst,💰,Investigates anti-money laundering.,3,8,81,Medium,,{},{},2026-06-09 00:52:38.116633+00,2026-06-13 04:25:25.412242+00,20,finance,"{""Financial Modeling"",Excel,Accounting,Analytics,Communication}","{B.Com,M.Com,CA,CFA,""MBA Finance""}","{CFA,FRM,NISM,CPA}",Low,17,"{""JP Morgan"",SBI,HDFC,""Goldman Sachs""}",High,aml-analyst,AML Analyst,Investigates anti-money laundering.,"Curious, dependable, adaptable and motivated to build domain expertise.",career-gps-research,Career GPS 2026 occupation research model,2026.1,2026-06-13,t
183697c6-14ad-4db4-a84e-11ddaf0ea114,Android Developer,💻,Builds native Android applications using Kotlin and Java.,3,9,44,High,,{},{},2026-06-09 00:52:38.116633+00,2026-06-13 04:25:25.412242+00,31,tech,"{Programming,""Problem Solving"",""System Design"",Cloud,Git}","{""B.Tech CSE"",BCA,MCA,""B.Sc IT"",Bootcamp}","{""AWS Certified"",""Google Cloud Cert"",""Coursera Cert"",""Meta Cert""}",Very High,3,"{Microsoft,Google,TCS,Infosys}",Medium,android-developer,Android Developer,Builds native Android applications using Kotlin and Java.,"Curious, dependable, adaptable and motivated to build domain expertise.",career-gps-research,Career GPS 2026 occupation research model,2026.1,2026-06-13,t
87add0d1-7b93-44e9-941b-800dbd1612f9,Anesthesiologist,🩺,Manages anesthesia during procedures.,5,17,55,Medium,,{},{},2026-06-09 00:52:38.116633+00,2026-06-13 04:25:25.412242+00,29,healthcare,"{""Patient Care"",""Clinical Knowledge"",Empathy,Diagnostics,Communication}","{MBBS,BDS,B.Pharm,""B.Sc Nursing"",BPT}","{BLS,ACLS,""NEET PG"",USMLE,""Specialty Boards""}",High,5,"{AIIMS,Apollo,Manipal,Max}",Low,anesthesiologist,Anesthesiologist,Manages anesthesia during procedures.,"Empathetic, resilient, detail-oriented and motivated by service.",career-gps-research,Career GPS 2026 occupation research model,2026.1,2026-06-13,t
6d8aa349-a2ef-47dd-8771-712f9d476a9f,Angel Investor,💼,Funds early-stage founders personally.,7,14,84,High,,{},{},2026-06-09 00:52:38.116633+00,2026-06-13 04:25:25.412242+00,37,business,"{Communication,Strategy,Excel,""Project Management"",""Stakeholder Mgmt""}","{BBA,MBA,B.Com,""Diploma in Mgmt""}","{PMP,""Six Sigma"",""Google PM Cert"",""HubSpot Cert""}",High,19,"{Bain,BCG,TCS,McKinsey}",Low,angel-investor,Angel Investor,Funds early-stage founders personally.,"Decisive, persuasive, commercially aware and comfortable with ambiguity.",career-gps-research,Career GPS 2026 occupation research model,2026.1,2026-06-13,t
2580a263-586a-46df-823c-d2000c0be036,Angular Developer,💻,Builds Angular-based frontends.,7,18,51,Medium,,{},{},2026-06-09 00:52:38.116633+00,2026-06-13 04:25:25.412242+00,47,tech,"{Programming,""Problem Solving"",""System Design"",Cloud,Git}","{""B.Tech CSE"",BCA,MCA,""B.Sc IT"",Bootcamp}","{""AWS Certified"",""Google Cloud Cert"",""Coursera Cert"",""Meta Cert""}",Very High,22,"{Razorpay,Infosys,Flipkart,Amazon}",None,angular-developer,Angular Developer,Builds Angular-based frontends.,"Curious, dependable, adaptable and motivated to build domain expertise.",career-gps-research,Career GPS 2026 occupation research model,2026.1,2026-06-13,t
0e248f12-4e2f-4086-8b87-7b5dcb45c6aa,Animal Behaviorist,🔬,Studies animal behavior.,7,13,50,High,,{},{},2026-06-09 00:52:38.116633+00,2026-06-13 04:25:25.412242+00,22,science,"{Research,Statistics,""Critical Thinking"",""Lab Work"",Writing}","{B.Sc,M.Sc,PhD,""Integrated MS""}","{""Lab Safety Cert"",""Statistics Cert"",""Domain Cert""}",Medium,15,"{IISc,CSIR,ISRO,TIFR}",None,animal-behaviorist,Animal Behaviorist,Studies animal behavior.,"Curious, dependable, adaptable and motivated to build domain expertise.",career-gps-research,Career GPS 2026 occupation research model,2026.1,2026-06-13,t
66ffbc22-1a4a-4e8d-91a0-4615915d7371,Animal Trainer,🔬,"Trains animals for film, service or sport.",2,12,42,Medium,,{},{},2026-06-09 00:52:38.116633+00,2026-06-13 04:25:25.412242+00,28,science,"{Research,Statistics,""Critical Thinking"",""Lab Work"",Writing}","{B.Sc,M.Sc,PhD,""Integrated MS""}","{""Lab Safety Cert"",""Statistics Cert"",""Domain Cert""}",Medium,2,"{IISc,CSIR,TIFR,DRDO}",None,animal-trainer,Animal Trainer,"Trains animals for film, service or sport.","Curious, dependable, adaptable and motivated to build domain expertise.",career-gps-research,Career GPS 2026 occupation research model,2026.1,2026-06-13,t
714f63a7-5f55-41bf-af7f-7ee05b0da23c,Animator,🎬,Creates animated characters and scenes.,5,11,51,High,,{},{},2026-06-09 00:52:38.116633+00,2026-06-13 04:25:25.412242+00,34,media,"{Storytelling,Creativity,Editing,Communication,Production}","{""BA Journalism"",BMM,BFA,""Diploma in Film""}","{""Adobe Premiere Cert"",""Avid Cert"",""Camera Cert""}",Low,24,"{NDTV,Sony,Disney,Netflix}",High,animator,Animator,Creates animated characters and scenes.,"Curious, dependable, adaptable and motivated to build domain expertise.",career-gps-research,Career GPS 2026 occupation research model,2026.1,2026-06-13,t
03022e59-d3a1-42f6-8be5-447e5ac4b063,Anthropologist,🔬,Studies human societies and cultures.,7,15,78,Low,,{},{},2026-06-09 00:52:38.116633+00,2026-06-13 04:25:25.412242+00,34,science,"{Research,Statistics,""Critical Thinking"",""Lab Work"",Writing}","{B.Sc,M.Sc,PhD,""Integrated MS""}","{""Lab Safety Cert"",""Statistics Cert"",""Domain Cert""}",Medium,9,"{DRDO,TIFR,ISRO,IISc}",Medium,anthropologist,Anthropologist,Studies human societies and cultures.,"Curious, dependable, adaptable and motivated to build domain expertise.",career-gps-research,Career GPS 2026 occupation research model,2026.1,2026-06-13,t
c635181f-9b1c-47f9-a087-64b3845903dd,Antique Dealer,🔧,Buys and sells antiques.,7,18,87,High,,{},{},2026-06-09 00:52:38.116633+00,2026-06-13 04:25:25.412242+00,36,trades,"{""Manual Skills"",Safety,""Tools Knowledge"",""Problem Solving"",Stamina}","{ITI,Diploma,Certification,Apprenticeship}","{""ITI Cert"",Apprenticeship,""Trade License""}",Low,6,"{""Self Employed"",""Local Firms"",Industry,Contractor}",Low,antique-dealer,Antique Dealer,Buys and sells antiques.,"Curious, dependable, adaptable and motivated to build domain expertise.",career-gps-research,Career GPS 2026 occupation research model,2026.1,2026-06-13,t
db5e9b3c-f693-4bba-82f2-3a01ac37660a,Applied Scientist,💻,Applies ML research to real products.,8,16,72,High,,{},{},2026-06-09 00:52:38.116633+00,2026-06-13 04:25:25.412242+00,30,tech,"{Programming,""Problem Solving"",""System Design"",Cloud,Git}","{""B.Tech CSE"",BCA,MCA,""B.Sc IT"",Bootcamp}","{""AWS Certified"",""Google Cloud Cert"",""Coursera Cert"",""Meta Cert""}",High,13,"{Razorpay,Google,Microsoft,Flipkart}",Low,applied-scientist,Applied Scientist,Applies ML research to real products.,"Curious, dependable, adaptable and motivated to build domain expertise.",career-gps-research,Career GPS 2026 occupation research model,2026.1,2026-06-13,t
64bbc8f1-a329-4629-88b3-328220d3708b,Aquaculture Farmer,🔧,Farms fish and aquatic life.,7,16,69,Low,,{},{},2026-06-09 00:52:38.116633+00,2026-06-13 04:25:25.412242+00,28,trades,"{""Manual Skills"",Safety,""Tools Knowledge"",""Problem Solving"",Stamina}","{ITI,Diploma,Certification,Apprenticeship}","{""ITI Cert"",Apprenticeship,""Trade License""}",Medium,20,"{""Self Employed"",Industry,""Local Firms"",Contractor}",None,aquaculture-farmer,Aquaculture Farmer,Farms fish and aquatic life.,"Curious, dependable, adaptable and motivated to build domain expertise.",career-gps-research,Career GPS 2026 occupation research model,2026.1,2026-06-13,t
a8e75caa-745d-48af-b73a-da9b0518d8c6,AR Content Creator,🚀,Creates augmented reality experiences.,5,15,54,High,,{},{},2026-06-09 00:52:38.116633+00,2026-06-13 04:25:25.412242+00,23,emerging,"{""Continuous Learning"",Adaptability,""Tech Literacy"",Research,Communication}","{B.Tech,M.Tech,""Online Cert"",Bootcamp}","{""AI Cert"",""Cloud Cert"",""Sustainability Cert""}",Very High,2,"{Microsoft,DeepMind,OpenAI,Tata}",High,ar-content-creator,AR Content Creator,Creates augmented reality experiences.,"Curious, dependable, adaptable and motivated to build domain expertise.",career-gps-research,Career GPS 2026 occupation research model,2026.1,2026-06-13,t
efd3c8f7-1df6-4766-8e7b-b33c7beaf143,AR/VR Developer,💻,Builds augmented and virtual reality experiences.,2,9,47,Medium,,{},{},2026-06-09 00:52:38.116633+00,2026-06-13 04:25:25.412242+00,29,tech,"{Programming,""Problem Solving"",""System Design"",Cloud,Git}","{""B.Tech CSE"",BCA,MCA,""B.Sc IT"",Bootcamp}","{""AWS Certified"",""Google Cloud Cert"",""Coursera Cert"",""Meta Cert""}",Very High,13,"{Flipkart,Amazon,Infosys,TCS}",High,ar-vr-developer,AR/VR Developer,Builds augmented and virtual reality experiences.,"Curious, dependable, adaptable and motivated to build domain expertise.",career-gps-research,Career GPS 2026 occupation research model,2026.1,2026-06-13,t
7ea06f8a-47db-4320-bcbc-be228eca929f,Arbitrator,⚖️,Decides disputes outside courts.,7,18,43,Low,,{},{},2026-06-09 00:52:38.116633+00,2026-06-13 04:25:25.412242+00,48,law,"{""Legal Research"",Writing,Negotiation,""Public Speaking"",Ethics}","{LLB,LLM,""BA LLB"",""Integrated Law""}","{""Bar Exam"",CS,""Specialty Cert""}",Very High,13,"{""Cyril Amarchand"",AZB,Khaitan,S&R}",Medium,arbitrator,Arbitrator,Decides disputes outside courts.,"Curious, dependable, adaptable and motivated to build domain expertise.",career-gps-research,Career GPS 2026 occupation research model,2026.1,2026-06-13,t
1c18ca6a-1c6c-4441-8a17-adbadfcca5d6,Archaeologist,🔬,Studies human history through artifacts.,4,11,47,Low,,{},{},2026-06-09 00:52:38.116633+00,2026-06-13 04:25:25.412242+00,20,science,"{Research,Statistics,""Critical Thinking"",""Lab Work"",Writing}","{B.Sc,M.Sc,PhD,""Integrated MS""}","{""Lab Safety Cert"",""Statistics Cert"",""Domain Cert""}",Low,16,"{CSIR,DRDO,TIFR,IISc}",Medium,archaeologist,Archaeologist,Studies human history through artifacts.,"Curious, dependable, adaptable and motivated to build domain expertise.",career-gps-research,Career GPS 2026 occupation research model,2026.1,2026-06-13,t
